1789497559.413163	configure	pid=4158 argv=/Users/davidliu/Documents/TradingAgents-AShare/.venv310/lib/python3.10/site-packages/pytest/__main__.py -q -p no:randomly -p dav990_probe tests/test_evidence_relations.py tests/test_evidence_summary.py tests/test_evidence_verifier_fairness.py tests/test_expectation_revision_contract.py tests/test_financial_announce_cutoff.py tests/test_financial_as_of.py tests/test_financial_period_compliance.py tests/test_financial_period_kind.py tests/test_frozen_trade_date_isolation.py tests/test_fund_flow_dispute_tie.py tests/test_fund_flow_evidence.py tests/test_fund_flow_lg_credibility.py tests/test_fund_flow_scale_collector.py tests/test_fund_flow_scale_consumption.py tests/test_fund_flow_scale_metrics.py tests/test_fundamentals_analyst.py tests/test_game_theory_integration.py::test_rt7_single_and_dual_horizon_isolation
1789497561.957472	START	tests/test_evidence_relations.py::test_valid_source_repetition_with_identical_canonical_id
1789497562.172367	FINISH	tests/test_evidence_relations.py::test_valid_source_repetition_with_identical_canonical_id
1789497562.172614	START	tests/test_evidence_relations.py::test_valid_derived_observation_explicit_caller_provided
1789497562.173800	FINISH	tests/test_evidence_relations.py::test_valid_derived_observation_explicit_caller_provided
1789497562.173984	START	tests/test_evidence_relations.py::test_valid_supports_relation_explicit_caller_provided
1789497562.174854	FINISH	tests/test_evidence_relations.py::test_valid_supports_relation_explicit_caller_provided
1789497562.175008	START	tests/test_evidence_relations.py::test_valid_refutes_relation_explicit_caller_provided
1789497562.175808	FINISH	tests/test_evidence_relations.py::test_valid_refutes_relation_explicit_caller_provided
1789497562.175948	START	tests/test_evidence_relations.py::test_idempotent_duplicate_edge_insertion
1789497562.176743	FINISH	tests/test_evidence_relations.py::test_idempotent_duplicate_edge_insertion
1789497562.176887	START	tests/test_evidence_relations.py::test_serialization_and_deserialization_roundtrip
1789497562.177864	FINISH	tests/test_evidence_relations.py::test_serialization_and_deserialization_roundtrip
1789497562.178016	START	tests/test_evidence_relations.py::test_reject_self_loop
1789497562.178768	FINISH	tests/test_evidence_relations.py::test_reject_self_loop
1789497562.178907	START	tests/test_evidence_relations.py::test_reject_dangling_reference_missing_target
1789497562.179597	FINISH	tests/test_evidence_relations.py::test_reject_dangling_reference_missing_target
